date,airport,inbound_flights,inbound_avg_arr_delay
2019-05-30,ANC,53,-5.509433962264151
2019-05-31,ANC,57,11.385964912280702
2019-06-01,ANC,50,1.42
2019-06-02,ANC,52,-1.1153846153846154
2019-06-03,ANC,59,7.677966101694915
2019-06-04,ANC,56,-5.660714285714286
2019-06-05,ANC,61,-10.901639344262295
2019-06-06,ANC,69,-7.9855072463768115
2019-06-07,ANC,72,-2.513888888888889
2019-06-08,ANC,69,11.53623188405797
2019-06-09,ANC,68,4.426470588235294
2019-06-10,ANC,72,7.111111111111111
2019-06-11,ANC,70,1.9285714285714286
2019-06-12,ANC,73,3.191780821917808
2019-06-13,ANC,73,15.315068493150685
2019-06-14,ANC,74,-1.9594594594594594
2019-06-15,ANC,69,-6.63768115942029
2019-06-16,ANC,69,0.2318840579710145
2019-06-17,ANC,74,0.02702702702702703
2019-06-18,ANC,71,-1.5070422535211268
2019-06-19,ANC,74,0.7162162162162162
2019-06-20,ANC,73,4.013698630136986
2019-06-21,ANC,74,2.77027027027027
2019-06-22,ANC,69,-5.405797101449275
2019-06-23,ANC,72,-2.9166666666666665
2019-06-24,ANC,75,-10.92
2019-06-25,ANC,71,-7.253521126760563
2019-06-26,ANC,77,3.896103896103896
2019-06-27,ANC,75,1.4
2019-06-28,ANC,76,-3.0526315789473686
2019-06-29,ANC,73,-3.835616438356164
2019-06-30,ANC,71,-2.9295774647887325
2019-07-01,ANC,76,-4.592105263157895
2019-07-02,ANC,73,-0.1643835616438356
2019-07-03,ANC,76,-2.263157894736842
2019-07-04,ANC,70,-5.171428571428572
2019-07-05,ANC,74,-4.594594594594595
2019-07-06,ANC,73,-0.3424657534246575
2019-07-07,ANC,72,3.6527777777777777
2019-07-08,ANC,77,-0.15584415584415584
2019-07-09,ANC,74,-7.662162162162162
2019-07-10,ANC,75,8.52
2019-07-11,ANC,75,-1.44
2019-07-12,ANC,75,7.32
2019-07-13,ANC,73,-4.945205479452055
2019-07-14,ANC,73,-2.0136986301369864
2019-07-15,ANC,75,-4.08
2019-07-16,ANC,74,-1.2432432432432432
2019-07-17,ANC,76,2.6315789473684212
2019-07-18,ANC,74,18.2972972972973
2019-07-19,ANC,76,3.263157894736842
2019-07-20,ANC,73,-6.616438356164384
2019-07-21,ANC,73,-1.7397260273972603
2019-07-22,ANC,73,-13.136986301369863
2019-07-23,ANC,73,-4.123287671232877
2019-07-24,ANC,77,0.0
2019-07-25,ANC,74,-6.108108108108108
2019-07-26,ANC,76,-4.197368421052632
2019-07-27,ANC,73,-4.287671232876712
2019-07-28,ANC,73,-7.3561643835616435
2019-07-29,ANC,76,-6.552631578947368
2019-07-30,ANC,74,-0.6486486486486487
2019-07-31,ANC,77,10.467532467532468
2019-08-01,ANC,74,4.0
2019-08-02,ANC,75,5.546666666666667
2019-08-03,ANC,73,0.0684931506849315
2019-08-04,ANC,73,0.958904109589041
2019-08-05,ANC,77,-3.012987012987013
2019-08-06,ANC,73,11.931506849315069
2019-08-07,ANC,74,-1.3243243243243243
2019-08-08,ANC,73,2.8219178082191783
2019-08-09,ANC,74,7.243243243243243
2019-08-10,ANC,72,-0.7222222222222222
2019-08-11,ANC,72,-4.083333333333333
2019-08-12,ANC,76,-4.407894736842105
2019-08-13,ANC,71,-8.845070422535212
2019-08-14,ANC,75,16.493333333333332
2019-08-15,ANC,72,4.569444444444445
2019-08-16,ANC,73,10.972602739726028
2019-08-17,ANC,67,7.955223880597015
2019-08-18,ANC,71,5.323943661971831
2019-08-19,ANC,71,5.943661971830986
2019-08-20,ANC,69,-5.101449275362318
2019-08-21,ANC,73,19.041095890410958
2019-08-22,ANC,71,4.450704225352113
2019-08-23,ANC,72,5.444444444444445
2019-08-24,ANC,67,-2.8358208955223883
2019-08-25,ANC,67,7.597014925373134
2019-08-26,ANC,68,8.764705882352942
2019-08-27,ANC,60,-0.16666666666666666
2019-08-28,ANC,64,-1.921875
2019-08-29,ANC,61,6.245901639344262
2019-08-30,ANC,64,3.828125
2019-08-31,ANC,58,-3.0
2019-09-01,ANC,61,-0.16393442622950818
2019-09-02,ANC,60,-8.716666666666667
2019-09-03,ANC,59,-3.5254237288135593
2019-09-04,ANC,59,-3.2711864406779663
2019-09-05,ANC,56,-3.9107142857142856
2019-09-06,ANC,60,-6.383333333333334
2019-09-07,ANC,56,2.3392857142857144
2019-09-08,ANC,58,-8.172413793103448
2019-09-09,ANC,54,-11.12962962962963
2019-09-10,ANC,54,-0.05555555555555555
2019-09-11,ANC,57,-2.9473684210526314
2019-09-12,ANC,53,3.150943396226415
2019-09-13,ANC,55,-3.0
2019-09-14,ANC,51,-4.0
2019-09-15,ANC,52,-0.7307692307692307
2019-09-16,ANC,51,-4.803921568627451
2019-09-17,ANC,52,2.75
2019-09-18,ANC,52,0.5192307692307693
2019-09-19,ANC,50,5.24
2019-09-20,ANC,52,-5.461538461538462
2019-09-21,ANC,49,-14.673469387755102
2019-09-22,ANC,50,3.62
2019-09-23,ANC,50,3.52
2019-09-24,ANC,49,12.73469387755102
2019-09-25,ANC,51,6.313725490196078
2019-09-26,ANC,48,6.541666666666667
2019-09-27,ANC,50,13.46
2019-09-28,ANC,47,7.829787234042553
2019-09-29,ANC,47,-3.5106382978723403
2019-09-30,ANC,48,-4.0
2019-10-01,ANC,43,-13.906976744186046
2019-10-02,ANC,47,-21.25531914893617
2019-10-03,ANC,44,-9.954545454545455
2019-10-04,ANC,46,-0.2826086956521739
2019-10-05,ANC,41,-1.5365853658536586
2019-10-06,ANC,41,-4.024390243902439
2019-10-07,ANC,43,3.86046511627907
2019-10-08,ANC,41,2.292682926829268
2019-10-09,ANC,45,3.3777777777777778
2019-10-10,ANC,41,-4.414634146341464
2019-10-11,ANC,41,3.926829268292683
2019-10-12,ANC,41,-10.609756097560975
2019-10-13,ANC,42,3.1904761904761907
2019-10-14,ANC,43,-4.8604651162790695
2019-10-15,ANC,42,-13.071428571428571
2019-10-16,ANC,45,-1.8666666666666667
2019-10-17,ANC,41,-10.585365853658537
2019-10-18,ANC,44,-4.818181818181818
2019-10-19,ANC,41,-2.268292682926829
2019-10-20,ANC,42,5.571428571428571
2019-10-21,ANC,43,18.232558139534884
2019-10-22,ANC,42,8.619047619047619
2019-10-23,ANC,45,1.9777777777777779
2019-10-24,ANC,42,-0.6190476190476191
2019-10-25,ANC,44,21.84090909090909
2019-10-26,ANC,39,3.0256410256410255
2019-10-27,ANC,41,-6.414634146341464
2019-10-28,ANC,43,-5.767441860465116
2019-10-29,ANC,43,-12.720930232558139
2019-10-30,ANC,43,5.441860465116279
2019-10-31,ANC,40,3.875
2019-11-01,ANC,42,6.190476190476191
2019-11-02,ANC,41,8.926829268292684
2019-11-03,ANC,44,1.6363636363636365
